caldt,open,high,low,close,volume,vwap,transactions,day
2024-01-25 12:32:00,23.5237,23.5237,23.5237,23.5237,166,23.5237,1,2024-01-25
2024-01-25 12:49:00,23.46,23.48,23.46,23.48,2645,23.4747,7,2024-01-25
2024-01-25 12:50:00,23.45,23.4799,23.45,23.45,2784,23.4752,4,2024-01-25
2024-01-25 14:20:00,23.14,23.14,23.11,23.11,800,23.1325,3,2024-01-25
2024-01-25 14:21:00,23.13,23.13,23.1299,23.1299,400,23.1299,2,2024-01-25
2024-01-25 15:17:00,23.21,23.21,23.21,23.21,100,23.21,1,2024-01-25
2024-01-26 09:57:00,23.34,23.34,23.34,23.34,502,23.34,1,2024-01-26
2024-01-26 11:38:00,23.55,23.55,23.55,23.55,500,23.55,1,2024-01-26
2024-01-26 11:39:00,23.55,23.55,23.5215,23.5215,1000,23.5358,2,2024-01-26
2024-01-26 11:41:00,23.48,23.48,23.48,23.48,500,23.48,1,2024-01-26
2024-01-26 11:50:00,23.57,23.57,23.56,23.5601,768,23.5627,6,2024-01-26
2024-01-26 12:48:00,23.41,23.41,23.41,23.41,150,23.41,1,2024-01-26
2024-01-26 14:55:00,23.39,23.39,23.39,23.39,138,23.39,1,2024-01-26
2024-01-29 09:30:00,23.8,23.8,23.8,23.8,520,23.8,1,2024-01-29
2024-01-29 09:41:00,23.57,23.57,23.55,23.55,800,23.5675,2,2024-01-29
2024-01-29 13:13:00,23.78,23.78,23.78,23.78,800,23.78,2,2024-01-29
2024-01-29 15:11:00,24.1535,24.1535,24.1535,24.1535,210,24.1535,1,2024-01-29
2024-01-29 15:24:00,24.2301,24.2301,24.23,24.23,294,24.2301,2,2024-01-29
2024-01-29 15:42:00,24.2528,24.2528,24.2528,24.2528,251,24.2526,2,2024-01-29
2024-01-29 15:45:00,24.27,24.27,24.27,24.27,171,24.2698,5,2024-01-29
2024-01-30 10:03:00,24.32,24.32,24.32,24.32,111,24.32,2,2024-01-30
2024-01-30 15:08:00,23.93,23.93,23.93,23.93,212,23.93,1,2024-01-30
2024-01-31 09:30:00,23.51,23.51,23.51,23.51,510,23.51,1,2024-01-31
2024-01-31 09:49:00,23.21,23.21,23.21,23.21,400,23.21,1,2024-01-31
2024-01-31 10:17:00,23.09,23.09,23.0,23.0,300,23.03,2,2024-01-31
2024-01-31 10:24:00,23.06,23.06,23.06,23.06,225,23.06,1,2024-01-31
2024-01-31 11:27:00,22.8203,22.8203,22.8203,22.8203,272,22.8274,5,2024-01-31
2024-01-31 14:39:00,23.11,23.11,23.11,23.11,243,23.113,3,2024-01-31
2024-01-31 15:02:00,22.97,22.97,22.97,22.97,100,22.97,1,2024-01-31
2024-01-31 15:04:00,22.78,22.79,22.78,22.79,498,22.785,3,2024-01-31
2024-01-31 15:05:00,22.73,22.73,22.73,22.73,209,22.73,1,2024-01-31
2024-01-31 15:08:00,22.67,22.74,22.67,22.72,886,22.7114,6,2024-01-31
2024-01-31 15:11:00,22.75,22.75,22.75,22.75,512,22.75,1,2024-01-31
2024-01-31 15:16:00,22.78,22.78,22.78,22.78,254,22.7776,2,2024-01-31
2024-01-31 15:20:00,22.68,22.68,22.68,22.68,311,22.6891,2,2024-01-31
2024-01-31 15:25:00,22.83,22.83,22.83,22.83,153,22.8265,2,2024-01-31
2024-01-31 15:46:00,22.55,22.55,22.55,22.55,100,22.55,1,2024-01-31
2024-02-01 09:56:00,22.9599,22.9599,22.9599,22.9599,100,22.9599,1,2024-02-01
2024-02-01 12:07:00,22.91,22.91,22.9099,22.9099,244,22.9099,2,2024-02-01
2024-02-01 12:12:00,22.94,22.94,22.94,22.94,100,22.94,1,2024-02-01
2024-02-01 12:33:00,22.77,22.77,22.77,22.77,100,22.77,1,2024-02-01
2024-02-01 13:11:00,22.95,22.95,22.95,22.95,100,22.95,1,2024-02-01
2024-02-01 13:34:00,22.97,22.97,22.97,22.97,150,22.97,1,2024-02-01
2024-02-01 14:47:00,23.1,23.1,23.1,23.1,200,23.1,1,2024-02-01
2024-02-02 12:15:00,23.6702,23.6702,23.6702,23.6702,554,23.6702,2,2024-02-02
2024-02-02 12:32:00,23.94,23.9401,23.94,23.9401,680,23.9401,2,2024-02-02
2024-02-02 13:31:00,23.73,23.73,23.7299,23.7299,1000,23.73,2,2024-02-02
2024-02-02 13:41:00,23.76,23.76,23.76,23.76,200,23.76,1,2024-02-02
2024-02-02 13:58:00,23.85,23.85,23.85,23.85,209,23.8471,2,2024-02-02
2024-02-02 15:44:00,23.96,23.96,23.96,23.96,100,23.96,1,2024-02-02
2024-02-02 16:00:00,24.1,24.1,24.1,24.1,700,24.1,1,2024-02-02
2024-02-05 09:30:00,23.86,23.86,23.86,23.86,452,23.86,2,2024-02-05
2024-02-05 11:35:00,23.2106,23.2106,23.2106,23.2106,250,23.2106,1,2024-02-05
2024-02-05 12:38:00,23.43,23.4393,23.4,23.43,5480,23.4322,7,2024-02-05
2024-02-05 12:47:00,23.33,23.33,23.33,23.33,100,23.33,1,2024-02-05
2024-02-05 15:45:00,23.3,23.3,23.3,23.3,325,23.3,2,2024-02-05
2024-02-05 15:48:00,23.36,23.36,23.36,23.36,100,23.36,1,2024-02-05
2024-02-06 09:56:00,23.4867,23.4867,23.4867,23.4867,200,23.4867,1,2024-02-06
2024-02-06 12:44:00,23.0,23.0,23.0,23.0,125,23.0025,2,2024-02-06
2024-02-06 13:00:00,23.0303,23.0303,23.03,23.03,500,23.0301,2,2024-02-06
2024-02-06 14:04:00,23.19,23.19,23.19,23.19,353,23.1804,2,2024-02-06
2024-02-07 10:23:00,23.9,23.9,23.9,23.9,300,23.9,4,2024-02-07
2024-02-07 12:21:00,23.82,23.82,23.82,23.82,251,23.82,1,2024-02-07
2024-02-07 15:59:00,23.99,23.99,23.99,23.99,156,23.99,1,2024-02-07
2024-02-08 08:35:00,26.0,26.0,26.0,26.0,200,26.0,1,2024-02-08
2024-02-08 14:29:00,25.07,25.07,25.07,25.07,115,25.07,1,2024-02-08
2024-02-08 15:27:00,25.15,25.15,25.15,25.15,201,25.15,1,2024-02-08
2024-02-08 15:47:00,25.07,25.07,25.07,25.07,100,25.07,1,2024-02-08
2024-02-09 09:30:00,25.99,25.99,25.99,25.99,265,25.99,2,2024-02-09
2024-02-09 10:13:00,26.09,26.09,26.09,26.09,125,26.09,1,2024-02-09
2024-02-09 11:10:00,26.25,26.25,26.25,26.25,358,26.2455,3,2024-02-09
2024-02-09 11:16:00,26.18,26.18,26.18,26.18,250,26.18,2,2024-02-09
2024-02-09 12:26:00,26.1566,26.1566,26.1566,26.1566,250,26.1566,1,2024-02-09
2024-02-09 15:24:00,26.2199,26.2199,26.2199,26.2199,100,26.2199,1,2024-02-09
2024-02-09 15:26:00,26.21,26.21,26.21,26.21,100,26.21,1,2024-02-09
2024-02-12 09:30:00,26.2,26.2,26.2,26.2,213,26.1988,3,2024-02-12
